actors,director,genre,imdb_rating,just_rating,opening_date,posterLink,runtime,synopsis,title_kor
"MatildaLawler,AlysonHannigan,BenSchwartz,DannyPudi,BenjaminEvanAinsworth,KateMicucci,NancyRobertson,ChristineLee,DarienMartin,CarolynYonge,KyleStrauts,CraigHaas,MalaikaJackson,ArkieKandola,NicholasDohy,BobbyMoynihan,JaneaneGarofalo,AnnaDeavereSmith",LenaKhan,"코미디,가족,판타지",6.2,72%,2021,https://images.justwatch.com/poster/247971813/s592,1시간35분,"슈퍼 히어로 만화의 광팬이자, 부모의 별거로 인해 스스로를 천성이 냉소적이라고 자처하는, 열 살 소녀 플로라의 이야기를 그리고 있다. 우연히 구출해낸 다람쥐를 율리시스라고 이름 지은 플로라는 그 다람쥐가 특별한 초능력을 가졌다는 사실을 깨닫고 놀라게 된다. 초능력 다람쥐로 인해 시시때때로 웃음을 자아내는 좌충우돌 모험에 휘말리게 되면서, 급기야는 플로라의 삶과, 삶을 바라보는 시선까지도 영원히 변하게 된다.",초능력 다람쥐 율리시스
"JackDylanGrazer,MarcoBarricelli,JacobTremblay,LuigiLaMonica,ArturoSorino",McKennaJeanHarris,판타지,85%,85%,2021,https://images.justwatch.com/poster/256820755/s592,7min,디즈니 픽사 애니메이션 영화 [루카]의  속편으로 제작된  시퀄 단편영화,안녕 알베르토
"BenBurtt,DanielLogan,SteveSansweet,DaveFiloni,GeorgeLucas,KathleenKennedy,RebaBuhr,JeremyBulloch,MaureenBulloch,DuwayneDunham,JoeJohnston,TemueraMorrison,PeteVilmur","BradfordBurah,BrianKwan",다큐멘터리,7.2,79%,2021,https://images.justwatch.com/poster/256781940/s592,21min,스타워즈의 전설적인 현상금 사냥꾼 보바 펫의 첫 등장과 유산을 기념하는 스페셜.,보바 펫: 헬멧 속에 감춰진 유산
"EllieKemper,RobDelaney,ArchieYates,AislingBea,PeteHolmes,KenanThompson,TimothySimons,AllyMaki,ChrisParnell,DevinRatray,KatieBethHall,MaxIvutin,AndrewDaly,MaddieHolliday,MikeyDay,JordanCarlos,EstherPovitsky,MartyAdams,JimRash,CatherineCohen,AmyOkuda,BronwenMantel,PeterSchoelier,TristanD.Lalla,NancyHelms,GayleGarfinkle,JaneGilchrist,HazelGorin,CaraRicketts",DanMazer,"액션,코미디,범죄,가족,드라마",3.6,53%,2021,https://images.justwatch.com/poster/254220807/s592,1시간33분,"연말연시, 가족들은 모두 일본으로 여행을 오지만, 10살 꼬마인 맥스 머서는 실수로 인해 그만 홀로 집에 남겨진다. 한편 귀중한 가보를 되찾기 위해 안간힘을 쓰는 부부가 맥스의 집을 노리게 되고, 맥스는 혼자 힘으로 집을 지켜 내야 한다. 맥스는 무단 침입자들을 막아 내기 위해서라면 무엇이든 할 각오가 되어 있다. 배꼽 잡는 대형 사고들이 쉴 새 없이 터지는 가운데, 맥스는 따뜻한 집만큼 좋은 곳은 없다는 사실을 깨닫는다.",홈 스위트 홈 얼론
"DaveGoelz,BillBarretta,EricJacobson,MattVogel,PeterLinz,DavidRudman,AliceDinnean,BruceLanoil,JulianneBuescher,BrianHenson,SarahOh,NicoletteSantino,ColleenSmith,AlanTrautman,AlexVilla,WillArnett,YvetteNicoleBrown,DarrenCriss,TarajiP.Henson,EdAsner,KimIrvine,SkaiJackson,GeoffKeighley,JustinaMachado,JeannieMai,ChrissyMetz,AlfonsoRibeiro,CraigRobinson,PatSajak,JohnStamos,DannyTrejo,SasheerZamata,QuinnMcPherson",KirkR.Thatcher,"코미디,가족,판타지",6.4,73%,2021,https://images.justwatch.com/poster/252088825/s592,52min,용감무쌍한 캐릭터로 유명한 위대한 곤조가 친구인 왕새우 페페와 짝을 이뤄 세상에서 가장 무시무시한 헌티드 맨션에서 하룻밤을 보내는 일생일대의 챌린지에 나선다.,머펫 헌티드 맨션
"CoreyJohnson,DonaldTrump,BarackObama,GeorgeW.Bush,GeorgeH.W.Bush,RonaldReagan,NancyReagan,FranklinD.Roosevelt,LyndonB.Johnson,BillClinton,LauraBush,MichelleObama,BarbaraBush,JoeBiden",ScottBateman,다큐멘터리,5.1,56%,2021,https://images.justwatch.com/poster/255464412/s592,44min,"30년간 사용된 미국 에어 포스 원 항공기는 곧 퇴역할 예정이다. 그 자리에는 하늘의 백악관으로 변신한 새로운 747형 점보제트기가 들어온다. '뉴 에어포스원, 하늘 위의 요새'는 새로운 대통령 전용기를 만들기 위한 기밀 업무를 살피고, 항공기를 극비 지휘 본부로 탈바꿈시킨 최첨단 기술을 집중적으로 분석한다.",뉴 에어포스 원: 하늘 위의 요새
"KimJi-soo,JennieKim,Rosé,Lisa","OhYoon-dong,JungSu-yee","음악,다큐멘터리",7.5,84%,2021,https://images.justwatch.com/poster/257459190/s592,1시간39분,"지수, 제니, 로제, 리사 4인 멤버로 구성된 블랙핑크는 2016년 8월 8일 세상에 첫 발을 내디딘 후 팬덤 블링크와 함께 폭발적인 성장을 이뤄왔다. 숨 가쁘게 달려온 5년 동안, 지나온 시간만큼 차곡차곡 쌓인 추억들, 그리고 무대에서의 기쁨. 가장 빛나는 순간들을 언제나 함께했던 팬들과 나누는 영화가 바로 블랙핑크 더 무비이다. 영화는 데뷔 후 5년간의 추억을 함께 나누는 기억의 방, 개성이 뚜렷한 4인의 강렬한 이미지 컷이 담긴 Beauty, 팬들에게 전하는 미공개 스페셜 인터뷰 등 오롯이 그녀들에게 집중된 이야기가 다양한 시퀀스에 담겨 펼쳐진다. 또한 국적과 성별을 초월해 뛰어난 퍼포먼스로 세계를 사로잡은 가장 블랙핑크다운 무대가 극대화된 현장감으로 스크린을 채운다.",블랙핑크 더 무비
,,"다큐멘터리,SF",76%,76%,2021,https://images.justwatch.com/poster/244760755/s592,18min,"Take a virtual vacation to some of the Star Wars films’ most iconic and beloved locations like Hoth, Tatooine, and Sorgan, as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away.",스타워즈 바이옴
"ElizabethOlsen,PaulBettany,KathrynHahn,RandallPark,TeyonahParris,ZacHenry,KatDennings,JoshStamberg,JulianHilliard,JettKlyne,AnthonyMackie,DonCheadle,SebastianStan,AmyAquino,ChaseRiverMcGhee,AaronHaynes,CarlLumbly,WyattRussell,ErinKellyman,DanielBrühl,EmilyVanCamp,TomHiddleston,WunmiMosaku,TaraStrong,OwenWilson,SophiaDiMartino,JackVeal,DeobiaOparei,RichardE.Grant,JonathanMajors,SamuelL.Jackson,JeffreyWright,DjimonHounsou,ChadwickBoseman,HayleyAtwell,JoshKeaton,BenedictCumberbatch,ChrisHemsworth,JeremyRenner,HaileeSteinfeld,LindaCardellini,AvaRusso,BenSakamoto,CadeWoodward,VeraFarmiga,AlaquaCox,OscarIsaac,TatianaMaslany,MarkRuffalo,ImanVellani,RishShah,MatthewLintz",,다큐멘터리,72%,72%,2021,https://images.justwatch.com/poster/255616224/s592,14min,"Explore the Disney+ series of the MCU—past, present and future.",마블 스튜디오 2021 디즈니+ 데이 스페셜
"DanCastellaneta,NancyCartwright,YeardleySmith,HankAzaria,TressMacNeille",DavidSilverman,판타지,76%,76%,2021,https://images.justwatch.com/poster/256786485/s592,4min,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",심슨 가족의 플러스 기념일
"RayRobertson,KinaScollay",SigmundSpathJr.,다큐멘터리,5.3,65%,2021,https://images.justwatch.com/poster/267834640/s592,44min,Researchers investigate whether orcas have begun hunting great white sharks off the coast of New Zealand.,Orca Vs. Great White
"ZachGalifianakis,JackDylanGrazer,EdHelms,OliviaColman,JusticeSmith,RobDelaney,KylieCantrall,RicardoHurtado,MarcusScribner,ThomasBarbusca,RubyWax,AvaMorse,KrupaPattani,JohnMacmillan,MeganMaczko,DavidMenkin,TristanAllerickChen",SarahSmith,"코미디,SF,애니메이션,가족",7.1,86%,2021,https://images.justwatch.com/poster/259053141/s592,1시간47분,"최첨단 소셜 AI 로봇 비봇이 모든 아이들의 친구가 되는 세상. 비봇을 갖는 것이 유일한 소원인 소심한 소년 바니에게도 드디어 론이라는 비봇이 생겼다. 그러나 첨단 디지털 기능과 소셜 미디어로 연결된 다른 비봇들과는 달리, 네트워크 접속이 불가능한 고장난 론. 자유분방하고 엉뚱한 론으로 인해 벌어지는 엉망진창, 스릴 넘치는 모험을 함께하며 바니는 진실한 우정이 무엇인지 점점 깨닫게 되는데..",고장난 론
"DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall,JessePlemons,PaulGiamatti,VeronicaFalcón,DaniRovira,QuimGutiérrez,DanDarganCarter,AndyNyman,RaphaelAlejandro,SimoneLockhart,PedroLópez,SulemCalderon,SebastianBlunt,MarkAshworth,AllanPoppleton,CarolinePaige,JamesQuattrochi,StephenDunlevy,PhilippMaximilian,RomualdoCastillo,PedroHaro,ChristinaSouza,MichaelH.Cole,HectorBanos,PeterLuisZimmerman,TravisGomez,DavidLengel,JustinRandellBrooke,PiperCollins,KeithArthurBolden,MarcusYoung",JaumeCollet-Serra,"판타지,코미디,가족,액션",6.6,81%,2021,https://images.justwatch.com/poster/255271255/s592,2시간7분,"미지의 세계 아마존에서 관광객들에게 최고의 스릴을 선사하는 재치 넘치는 크루즈 선장 프랭크. 고대 아마존의 전설을 쫓아 영국에서 온 식물 탐험가 릴리 박사가 의학의 미래를 바꿀 치유의 나무를 찾는 여정에 함께 할 것을 제안하면서, 순탄치 않은 모험을 시작하게 된다. 달라도 너무 다른 두 사람은 아름답지만 온갖 위험이 도사리는 열대우림으로 함께 모험을 떠나고 수많은 역경과 초자연적인 힘을 마주하게 되는데...",정글 크루즈
"KellyMarieTran,Awkwafina,IzaacWang,GemmaChan,DanielDaeKim,BenedictWong,JonaXiao,SandraOh,ThaliaTran,LucilleSoong,AlanTudyk,DichenLachman,PattiHarrison,SungKang,RossButler,FrançoisChau,PaulYen","DonHall,CarlosLópezEstrada","애니메이션,액션,코미디,드라마,가족,판타지",7.3,86%,2021,https://images.justwatch.com/poster/245207590/s592,1시간47분,"인간과 드래곤이 평화롭게 공존하던 신비의 땅, 쿠만드라 왕국. 악의 세력 드룬이 들이닥치자, 드래곤들은 인간을 구하기 위해 스스로를 희생하고 사라진다. 500년 후 부활한 드룬이 세상을 공포에 빠뜨리자, 전사 라야는 분열된 쿠만드라를 구하기 위해 전설 속 마지막 드래곤을 찾아 모험을 떠난다. 라야는 험난한 여정을 겪으며 세상을 구하기 위해서는 전설 속 드래곤보다 더 중요한 것이 있다는 것을 깨닫게 되는데…",라야와 마지막 드래곤
"SimuLiu,TonyLeungChiu-wai,Awkwafina,Meng'erZhang,FalaChen,MichelleYeoh,YuenWah,BenKingsley,FlorianMunteanu,AndyLe,PaulHe,JaydenTianyiZhang,ElodieFong,ArnoldSun,StephanieHsu,KunalDudheker,TsaiChin,JodiLong,DallasLiu,RonnyChieng,DanielLiu,StellaYe,FernandoChien,Michael-AnthonyTaylor,ZachCherry,RaymondMa,LauGa-Yung,JohnnyCarr,HarmonieHe,LydiaSarks,DeeBradleyBaker,BenedictWong,JadeXu,TimRoth,MarkRuffalo,BrieLarson,DavidChea,BingchenYe",DestinDanielCretton,"판타지,SF,코미디,액션",7.5,87%,2021,https://images.justwatch.com/poster/249642135/s592,2시간13분,초인적인 능력을 가진 텐 링즈의 힘으로 수세기 동안 어둠의 세상을 지배해 온 웬우. 샹치는 아버지 웬우 밑에서 암살자로 훈련을 받았지만 이를 거부하고 평범함 삶을 선택한다. 샌프란시스코로 떠나와 자신의 진짜 이름을 숨긴 채 션이란 가명으로 살아가는 샹치. 웬우가 수장으로 있는 조직 텐 링즈의 일원인 레이저 피스트가 찾아와 샹치의 펜던트를 훔쳐가자 샹치는 친구 케이티와 함께 연이 끊겼던 동생 샤링을 염려하며 그녀가 숨어 지내는 마카오로 찾아간다. 텐 링즈의 마법 같은 힘을 통해 수천년 동안 지구의 역사를 혼란에 빠뜨렸던 웬우는 자신의 아들딸을 다시 불러들여 새로운 계략을 꾸민다.,샹치와 텐 링즈의 전설
"StevieWonder,Lin-ManuelMiranda,JesseJackson,ChrisRock,TonyLawrence,NinaSimone,B.B.King,AbbeyLincoln,MavisStaples,MomsMabley,MahaliaJackson,DavidRuffin,SlyStone,HughMasekela,JohnV.Lindsay,MaxRoach,RayBarretto,MongoSantamaría,Questlove,LuisMiranda,WalterCronkite,MalcolmX,MartinLutherKingJr.,RobertF.Kennedy,RichardNixon,JohnF.Kennedy,JesseJackson,MomsMabley,MaxRoach,FidelCastro",Questlove,"다큐멘터리,음악",8.1,87%,2021,https://images.justwatch.com/poster/249153157/s592,1시간57분,"1969년 미국뿐만 아니라 전 세계적으로 화제를 불러일으켰던 음악축제 ′우드스탁′이 한창이던 여름날, 100마일 정도 떨어진 뉴욕시 외곽에서 ′할렘 컬쳐 페스티벌′이라는 음악 축제가 동시에 개최되었다. 스티비 원더, BB킹 등 그 당시 미국 음악계를 호령했던 뮤지션들의 공연과 30만이라는 어마어마한 관객들이 참여했던 이 페스티벌은 모두 녹화되었지만 단지 흑인들의 축제라는 이유로 그 어느 곳에서도 방영되지 못한 채 사장되고 말았다. 50년 후 을 통해 그 당시 생생했던 공연장면과 전국에서 몰려든 관객들의 환호와 갈채가 처음 공개된다. 마치 열광적인 공연을 본 것 같은 이 작품은 왜 그 당시 흑인 음악을 ′소울′이라고 불렀는지 여실히 보여준다. [제26회 부산국제영화제]","소울, 영혼, 그리고 여름"
"JacobTremblay,JackDylanGrazer,EmmaBerman,SaverioRaimondo,MayaRudolph,MarcoBarricelli,JimGaffigan,PeterSohn,LorenzoCrisci,MarinaMassironi,LuigiLaMonica,SandyMartin,GiacomoGianniotti,ElisaGabrielli,MimiMaynard,SachaBaronCohen,FrancescaFanti,JonathanNichols,EnricoCasarosa,JimPirri,ArturoSorino",EnricoCasarosa,"판타지,가족,애니메이션,코미디",7.5,88%,2021,https://images.justwatch.com/poster/253035135/s592,1시간35분,"이탈리아 리비에라의 해변 마을. 마을 사람들 사이엔 인근에 바다괴물이 산다는 전설이 떠돈다. 실제로 바다에는 루카(제이콥 트렘블레이)를 비롯한 바다괴물 가족들이 산다. 루카의 부모는 루카에게 바다 밖을 경계하라 이르지만, 루카는 기어이 바다 밖 세상으로 향한다. 루카는 육지에선 인간의 모습으로 변하지만 물에 닿으면 바다괴물의 모습으로 돌아간다. 바다괴물 친구이자 육지 생활 선배인 알베르토(잭 딜런 그레이저)는 루카에게 두 다리로 걷는 법부터 자유와 일탈의 짜릿함까지 맛보게 한다. 급기야 인간 마을로 들어간 둘은 줄리아(엠마 버만)와 친구가 돼 함께 수영, 사이클, 파스타 빨리 먹기 3종 대회에 참가하는데...",루카
"BillieEilish,GustavoDudamel,LosAngelesPhilharmonic,FinneasO'Connell,RomeroLubambo","RobertRodriguez,PatrickOsborne","음악,다큐멘터리",7.2,84%,2021,https://images.justwatch.com/poster/250125662/s592,1시간5분,"음반 ‘해피어 댄 에버’가 나온 직후, 전설적인 할리우드 볼 무대에서 음반에 수록된 모든 곡을 순서대로 공연한다. 로버트 로드리게스와 패트릭 오즈번이 연출한 이 영화에는 관객들이 빌리의 고향인 LA의 명소들을 꿈속에서 둘러보는 듯한 애니메이션도 들어있다. 또한, 가수이자 작곡가인 피니즈, LA 어린이 합창단, 구스타보 두다멜이 지휘하는 LA 필하모닉, 브라질의 세계적인 기타리스트인 로메로 루밤보가 특별 출연한다.",Happier Than Ever: LA로 보내는 러브레터
"ScarlettJohansson,FlorencePugh,RachelWeisz,DavidHarbour,RayWinstone,OlgaKurylenko,EverAnderson,VioletMcGraw,O.T.Fagbenle,WilliamHurt,RyanKieraArmstrong,LianiSamuel,MichelleLee,LewisYoung,C.C.Smiff,NannaBlondell,SimonaZivkovska,ShainaWest,YolandaLynes,ClaudiaHeinz,JadeMa,JadeXu,Lucy-JayneMurray,LucyCork,EnikoFulop,LaurenOkadigbo,AgelAurélia,SvetlanaConstantine,IoneButler,AubreyCleland,KurtYue,DougRobson,MarcelDorian,ZoltánNagy,LiranNathan,JuditVarga-Szathmary,NoelKrisztianKozak,MartinRazpopov,OlivierRichters,DaliborBajunovic,AndrewByron,EdAshe,DawidSzatarski,CaliNelle,GeoffreyD.Williams,RobertPralgo,JacinteBlankenship,JoshHenry,JoseMiguelVasquez,ValentinaHerrera,DanielleJalade,AriaBrooks,SophieColgrove,CaisterMyungChoi,DavidTurner,EdwardL.Oliver,DaleLiner,RobHorrocks,OliverSimms,YuukiLuna,KalinaVanska,JordynCuret,ChadJ.Wagner,JoakimSkarli,IanWilson,OmarAlboukharey,TyroneKearns,GavinLeeLewis,AhmedBakare,ZoltanRencsar,AdamPrickett,LuigiBoccanfuso,RomanGreen,ClemSo,GrahamKitchen,DanielJosephWoolf,JohnWolfe,PaulO'Kelly,ShaneAskam,ObieMatthew,TyHurley,StephenSamson,MarianLorencik,JuliaLouis-Dreyfus,JeremyRenner",CateShortland,"SF,액션",6.7,81%,2021,https://images.justwatch.com/poster/254317024/s592,2시간14분,"어벤져스 멤버들이 뿔뿔이 흩어지고 혼자가 된 어벤져스의 히어로 블랙 위도우는  20년 전 헤어진 여동생 옐레나와 재회하는데, 이 과정에서 사라진 줄 알았던 레드룸이 아직도 실재한다는 사실을 알게 된다. 레드룸은 두 사람을 암살자로 만든 소비에트연방의 훈련기관. 두 사람은 레드룸을 없애고 지배받는 여성들을 구하기로 의기투합한다. 상대의 능력을 복제하는 빌런 태스크마스터와 새로운 위도우들의 위협에 맞서 목숨을 건 반격을 시작하는 나타샤는 스파이로 활약했던 자신의 과거 뿐 아니라, 어벤져스가 되기 전 함께했던 동료들을 마주해야만 하는데...",블랙 위도우
