actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Cho Min-soo , Kim Eun-young , Terris Brown , Lee Soo-kwang , Oh Woo-ri , Choi Ji-su , Park Se-jun , Kim Ji-hoon , Lee Kyu-ho ", Nam Yeon-woo ,"코미디 ,드라마 ", 6.3 , 71% , 2020 ,1시간 32분,"이태원에서 가수로 활동하며 주가를 올리고 있는 순덕에게 인연을 끊고 살던 엄마가 들이닥친다. 알고 보니 둘째 유리가 엄마와 순덕의 돈을 갖고 사라진 것. 유리와 돈을 찾겠다는 일념 하에 한 팀이 된 엄마와 딸은 이태원 구석구석을 찾아 헤매기 시작하고, 다 안다고 생각했던 유리의 비밀들을 마주하게 되는데...",초미의 관심사
" Ye Soo-jung , Ki Joo-bong , Kim Jun-gyeong , Kim Tae-hun , Kim Joong-ki , Shin Hyeon-jong , Park Ga-young ", Lim Sun-ae ,드라마 , 72% , 72% , 2020 ,1시간 37분,"69세 효정은 병원에서 치료를 받다가 29세의 남자 간호조무사에게 치욕적인 일을 당한다. 긴 고민 끝에 효정은 동거 중인 동인에게 이 사실을 알리고 경찰에 신고한다. 하지만 경찰과 주변 사람 모두 말도 안 되는 일이라며 효정을 치매 환자로 매도하고, 법원 역시 나이 차이를 근거로 사건의 개연성이 부족하다며 구속영장을 기각한다. 효정은 피해자가 더 고통 받는 현실에 굴하지 않고 용기를 내어 가해자를 향한 일갈을 준비하는데…",69세
" Pete Davidson , Marisa Tomei , Bill Burr , Bel Powley , Maude Apatow , Steve Buscemi , Pamela Adlon , Action Bronson , Kevin Corrigan , Ricky Velez , Moisés Arias , Lou Wilson , Carly Aquilino , Robert Vidal III , Angus Costello , Pauline Chalamet , Lynne Koplitz , Joseph Paul Kennedy , Nina Hellman , Jack Hamblin , Stephen Davidson , Keith Robinson , Luke David Blumm , Liza Treyger , Derek Gaines , Meredith Handerhan , Rich Vos , Bonnie McFarlane , Jay Rodriguez , Jimmy Tatro , Giselle King , John Sorrentino , Alexis Rae Forlenza , Domenick Lombardozzi , Rafael Poueriet , Nana Mensah , Machine Gun Kelly , Kill , Anthony Lee Medina , Nyla Durdin , Katherine Ray Zimmerman , Lilly Brown , Robert Smigel , Jessica Kirson , Laurence Blum , David S. Lomax , Casey Davidson , Antony Marino , Nils Johnson , Mario Polit , Mike Vecchione , Hank Strong , Marilyn Torres , Teodorina Bello , Michelle Sohn , Ken Holmes , Emma R. Mudd , Melania Zalipsky , Gina Jun ", Judd Apatow ,"드라마 ,코미디 ", 7.1 (58k) , 78% , 2020 ,2시간 17분,"소방관 아버지를 잃고 정체된 삶을 살아온 스콧. 20대가 되었지만 여전히 엄마에게 얹혀사는 신세인데. 어느 날 소방관과 사귄다는 엄마의 고백에, 그의 인생은 경로를 이탈하기 시작한다.",킹 오브 스태튼 아일랜드
" Lee Chae-young , Choi Cheol-ho , Jo Jung-min , Kan Mi-youn , Han Se-min , Kim Si-woon , Bae Soo-kyung "," Kim Ji-han , Juhn Jai-hong ","공포 ,스릴러 ", 4.7 , 58% , 2020 ,1시간 33분,"잘나가던 온라인 패션계 간판 모델 효정. 외모로 인해 자신의 자리에서 밀려난 그녀는 슬럼프에 빠진다.  모두 다른 목적, 하지만 같은 욕망으로 요가학원을 찾은 효정을 비롯한 회원들. 원하는 걸 갖기 위해, 쿤달리니의 경지에 오르기 위해 수련을 이어나간다. 궁극의 아름다움에 가까워질수록 알 수 없는 섬뜩한 일들이 그들에게 일어나는데...",요가학원: 죽음의 쿤달리니
, Byun Gyu-ri ,"로맨스 ,다큐멘터리 ", 71% , 71% , 2020 ,1시간 36분,"밤낮 일에만 빠져 사는 윌. 할아버지의 유지를 받들어 엘에이를 뒤로하고 가족의 고향 멕시코로 내려간다. 조부의 간곡한 당부대로 버킷리스트를 하나씩 실천할 계획인데, 도착하자마자 마지막 항목부터 지우려나? 사랑에 빠져버렸다!",너에게 가는 길
" Charlie Dizon , Bea Alonzo , Paulo Avelino , Camille Penaverde , Sheen Gener , Gie Onida ", Antoinette Jadaone ,드라마 , 80% , 80% , 2020 ,1시간 40분,"아이돌에 열광하는 한 10대 소녀 팬이 우연히 아이돌 집에 가게 된다. 그런데 그 아이돌은 알고 있던 모습과는 딴판이고, 그녀는 사람들이 왜 최애 아이돌을 직접 만나서는 안 된다고 하는지 알게 된다.",Fan Girl
" Kang Mal-geum , Youn Yuh-jung , Kim Young-min , Yoon Seung-ah , Bae Yoo-ram , Seo Sang-won , Rie Young-zin , Choi Hwa-jeong , Kang Tae-u ", Kim Cho-hee ,판타지 , 72% , 72% , 2020 ,1시간 36분,"집도 없고, 남자도 없고, 갑자기 일마저 똑 끊겨버린 영화 프로듀서 찬실.  찬실은 변두리 산꼭대기 마을로 이사한다. 현생은 망했다 싶지만, 친한 배우 소피네 가사도우미로 취직해 살길을 도모한다. 그런데 소피의 불어 선생님 영이 누나 마음을 설레게 하더니 장국영이라 우기는 비밀스런 남자까지 등장! 새로 이사간 집주인 할머니도 정이 넘쳐 흐른다. 평생 일복만 터져왔는데, 영화를 그만두니 전에 없던 ‘복’도 들어오는 걸까?",찬실이는 복도 많지
" Natsuki Hanae , Akari Kito , Hiro Shimono , Yoshitsugu Matsuoka , Satoshi Hino , Takahiro Sakurai , Katsuyuki Konishi , Saori Hayami , Kenichi Suzumura , Tomokazu Seki , Tomokazu Sugita , Toshiyuki Morikawa , Rina Sato , Shin-ichiro Miki , Houko Kuwashima , Kaede Hondo , You Taichi , Konomi Kohara , Aoi Koga , Rikiya Koyama , Megumi Toyoguchi , Junya Enoki , Mariya Ise , Daisuke Hirakawa , Akira Ishida , Jun Kasama , Sayaka Senbongi , Takuya Eguchi , Hibiku Yamamura , Yuya Hirose , Shinya Takahashi , Saeko Akiho , Shugo Nakamura , Mitsuki Nakae ", Haruo Sotozaki ,"판타지 ,애니메이션 ,공포 ,액션 ", 8.3 (49k) , 94% , 2020 ,1시간 57분,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌릴 단서를 찾아 비밀조직 귀살대에 들어간 탄지로. 젠이츠, 이노스케와 새로운 임무 수행을 위해 무한열차에 탑승 후 귀살대 최강 검사 염주 렌고쿠와 합류한다. 달리는 무한열차에서 승객들이 하나 둘 흔적 없이 사라지자 숨어있는 식인 혈귀의 존재를 직감하는 렌고쿠. 귀살대 탄지로 일행과 최강 검사 염주 렌고쿠는 어둠 속을 달리는 무한열차에서 모두의 목숨을 구하기 위해 예측불가능한 능력을 가진 혈귀와 목숨을 건 혈전을 시작하는데...",귀멸의 칼날 극장판 무한열차편
" Charlize Theron , KiKi Layne , Matthias Schoenaerts , Marwan Kenzari , Luca Marinelli , Chiwetel Ejiofor , Harry Melling , Ngô Thanh Vân , Natacha Karam , Anamaria Marinca , Joey Ansah , Adam Collins , Russell Balogh , Obie Matthew , Mette Towley , Micheal Ward , Shala Nyx , Majid Essaidi , Andrei Zayats , Olivia Ross , Peter Basham , Nadia Niazi , Mehdi Lamrini , Aanya Hirdaramani , Jordan Holland , Orlando Seale , Simon Chandler , Jane Fowler , Yassine Zeroual , Adam Basil , Peter Brooke , Jill Buchanan , Adam Collins , Jill De Quincey , Talal El Moustaghfir , Tuncay Gunes , Steve Healey , Rich Lawton , Jorge Leon Martinez , Martyn Mayger , Chereena Miller , Seema Morar , Oliver Simms , Alfredo Tavares , Rutvig Vaid , Toby Hefferman ", Gina Prince-Bythewood ,"판타지 ,스릴러 ,액션 ", 6.7 (154k) , 77% , 2020 ,2시간 5분,"수백 년 동안 어둠 속에서 싸워왔다. 인류를 지키는 불멸의 전사들. 큰 잠재력을 가진 신참을 발견하지만, 그들의 놀라운 힘도 발각된다. 잡혀선 안 된다, 끝까지 싸운다.",올드 가드
" Um Tae-goo , Jeon Yeo-been , Cha Seung-won , Lee Ki-young , Park Ho-san , Hyun Bong-sik , Cho Dong-in , Cha Soon-bae , Ahn Se-bin , Jang Young-nam , Lee Moon-sik , Son Byung-ho , Kim Yeong-seon , Choi Jeong-hyun ", Park Hoon-jung ,"스릴러 ,액션 ,범죄 ,드라마 ", 6.7 (6k) , 77% , 2020 ,2시간 11분,"범죄조직의 에이스 태구는 사랑하는 누나와 조카를 의문의 교통사고로 한순간에 잃는다. 참혹한 비극의 배후에 상대 조직이 있음을 직감한 태구는 모든 것을 걸고 복수를 실행한다. 거사를 마친 태구는 몸을 숨긴 제주도에서 불법 무기상 삼촌과 단둘이 사는, 죽음의 그림자를 간직한 재연을 만나는데...",낙원의 밤
