actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Lee You-mi , Hani , Shin Haet-bit , Lee Hwan , Park Kang-sup , Bang Eun-jung , Heo Joon-seok , Han Sung-soo , Kim Kang-hyun , Lee Seung-yeon , Hyun Bong-sik , Noh Susanna , Cho Seong-ha ", Lee Hwan ,드라마 , 5.7 , 60% , 2021 ,2시간 7분,"18세 세진, 덜컥 임산부가 되어버렸다. 무책임한 어른들에 지쳐 거리를 떠돌던 세진은 가출 경력 4년 차 동갑내기 주영을 만난다. 처음 만났지만 절친이 된 세진과 주영, 위기의 순간 나타난 파랑머리 재필과 신지까지 왠지 닮은 듯한 네 명이 모여 세진의 유산 프로젝트가 시작된다.",어른들은 몰라요
 Rose Byrne , Nick Robinson ,"다큐멘터리 ,가족 ", 7.1 , 83% , 2021 ,59min,작지만 환상적인 생명체로 가득한 경이로운 세상. 아기 복어 한 마리가 산호초 속 세상을 탐험한다. 그레이트배리어리프 어딘가에 있을 나만의 집을 찾아.,퍼프: 산호초의 경이로움
" Arno Mayer , Peter Wiess , Dwight D. Eisenhower , Adolf Hitler "," Daniel Sivan , Mor Loushy ",애니메이션 , 6.3 , 74% , 2021 ,34min,2차대전 참전 군인들의 증언을 통해 미국 내 비밀 군부대의 정체를 파헤친 단편 애니메이션 다큐멘터리. 미국으로 건너온 유대인 병사들이 나치 전범을 조사했던 수용소가 그 모습을 드러낸다.,사서함 1142: 미국의 비밀 나치 수용소
" Andrea Arcangeli , Valentina Bellè , Andrea Pennacchi , Antonio Zavatteri , Anna Ferruzzo , Riccardo Goretti , Roberto Turchetta , Martufello , Thomas Trabacchi , Marc Clotet , Simone Colombari , Alice Ottavi , Ginevra Ottavi , Matteo Pachera , Federico Pasquali , Beppe Rosso , Rebecca Mazo , Frédéric Moulin , Vito Luigi Fornarelli , Ruggero Cirasa , Mauro Macedonio , Beatrice Schiros , Gelsomina Pascucci , Lorenzo Salvetti , Giulia Cordioli , Vassilij Gianmaria Mangheras , Riccardo Marinari , Nilde Boso Chiusole , Leonardo Baroni , Fabio Castaldi , Marco De Angelis , Alessandro Errichetti , Vincenzo Tosetto ", Letizia Lamartire ,"스포츠 ,드라마 ", 6.1 (4k) , 70% , 2021 ,1시간 31분,"무엇 하나 쉽지 않았지만, 그는 포기하지 않았다. 이탈리아 최고의 축구 선수 로베르토 바조. 쉽지 않았던 데뷔부터 은퇴까지, 22년이라는 기록적인 선수 생활 동안 그가 겪어야 했던 수많은 좌절과 영광의 순간들이 스크린에 펼쳐진다.",로베르토 바조: 말총머리의 판타지스타
" Taapsee Pannu , Vikrant Massey , Harshvardhan Rane , Aditya Srivastava , Yamini Das , Daya Shankar Pandey , Ashish Verma , Deepesh Sumitra Jagdish , Ashique Hussain , Puja Sarup , Alka Kaushal , Kunj Anand ", Vinil Mathew ,"로맨스 ,스릴러 ,범죄 ,드라마 ", 6.9 (25k) , 73% , 2021 ,2시간 15분,손목에 사랑하는 아내의 이름을 새긴 남편. 그런 남편이 살해당했다. 가장 유력한 용의자는 그의 아내. 경찰의 조사를 받던 아내가 힘들었던 결혼 생활에 대해 자세히 털어놓기 시작한다.,나를 사로잡은 그대
" Kiko Mizuhara , Honami Sato , Yoko Maki , Anne Suzuki , Shunsuke Tanaka , Tetsushi Tanaka , Sara Minami , Yui Uemura , Shinya Niiro , Setsuko Karasuma ", Ryuichi Hiroki ,"스릴러 ,드라마 ,로맨스 ", 5.6 (1k) , 69% , 2021 ,2시간 22분,"어려서부터 사랑한 그녀가 매 맞는 아내라니. 10년 만에 재회한 사랑을 위해 그 남편을 없앤 여자. 도망치며, 두 사람은 서로에 대한 감정에 불이 붙는다. 같이 죽을까, 같이 자수할까. 멈출 수 없는 도주 끝에, 선택의 시간이 온다.",라이드 오어 다이
" Joshua Fields Millburn , Ryan Nicodemus ", Matt D'Avella ,다큐멘터리 , 5.9 (3k) , 68% , 2021 ,53min,"이 다큐멘터리의 제목은 건축가 루트비히 미스 판 데어 로에(1886-1969) 덕분에 유명해진 `적을수록 좋다(Less is more)`는 격언에서 영감을 받았다. 자신의 디자인 미학을 표현하기 위해 이 격언을 사용한 로에. 그의 전략은 극도로 단순한 인상을 주기 위해, 건물의 꼭 필요한 요소들만 배치하는 것이었다. 미니멀리스트라 불리는 이 작품의 주인공들은 오늘날의 소비문화에 경종을 울리기 위해 이 격언을 재창조했다.",미니멀리즘: 오늘도 비우는 사람들
" Louis Morissette , Émilie Bierre , Catherine Chabot , Xavier Lebel , Isabelle Guérard , Gilles Renaud , Louise Portal , Alexandre Goyette , Jean-Carl Boucher , Jean-François Boudreau , Stéphane Breton , Alexandrine Agostini , Bianca Bellange , Thomas Vallières , Frank Marrs , Fayçal Azzouz , Holden Wong , Monika Pilon , Katia Lévesque , Hugues Saint Louis , Ayana O'Shun , Anik Lefebvre , Noémie Yelle , Sébastien Rajotte , Chloé Germentier , Olivier Morin , Louis-David Morasse , Matis Emond , Léon Lettre-Brière , Édith Paquet , Salomé Corbo , Martin Laroche , Delphine Morissette , Karen Elkin , Maya Gosselin , Zachary Baron , Jean-Robert Bonneau , Naïade Aoun , Kathleen Fortin , Karine Boudreault , Geneviève Laroche , Emmanuel Seguin , Nathanael Da fonseca , Elliot Cormier , Nolan Barrière , Elyoth Barrière , Amélie Bonenfant , Patrick Baby , Francis-William Rhéaume , Bernard Chabot , Geneviève Cabana-Proulx , Léo Côté , Chanelle Foo Lam , Margaux Vaillancourt , Cédrik Brault , Daniel Parent , Ariane-Li Simard-Côté , Magaly Paquin , Isabelle O'Brien , Naomi Hilaire , Vincent Brun , Alphé Gagné , Philippe Thibault-Denis , Charlotte Poitras ", Ricardo Trogi ,"코미디 ,드라마 ", 6.4 (1k) , 72% , 2021 ,1시간 42분,자녀 때문에 고민이 이만저만이 아닌 퀘벡의 한 부부. SNS에서의 이미지와 성공에 집착하는 시대에 아이들 키우는 게 쉽지가 않다. 기대가 커질수록 기대와 멀어지는 건 기분 탓일까?,완벽한 가족이 되는 법
 Belinda Lane , Fredrick Munk ,"범죄 ,다큐멘터리 ", 5.6 (3k) , 66% , 2021 ,1시간 23분,스물네 살의 젊은 여성 크리스털이 살해당한다. 어떻게든 심판을 내려야 한다. SNS를 이용해 살인자를 추적하는 그녀의 가족. 그들에게 정의와 복수의 경계는 어디쯤일까.,왜 나를 죽였지?
" Ayla Rae Neal , Sonya Krueger , Ashley Angione , Tickwanya Jones , Paris Anderson , Sabrina Fest , Sarah J. Bartholomew , Tommi Rose , Ashley Nichols , Frankie Kevich , Jessica Ruth Bell , Adrienne Sterman ", Alex Kamb ,애니메이션 , 77% , 77% , 2021 ,47min,Dazzling doll sisters Queen Bee and Royal Bee make their first movie with help from their fashionable friends in this one-of-a-kind magical adventure.,LOL 서프라이즈: 더 무비
