actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
"RosamundPike,SamRiley,AneurinBarnard,AnyaTaylor-Joy,SimonRussellBeale,JonathanAris,CoreyJohnson,TimWoodward,KatherineParkinson,PeterSztojanovJr.,HarrietTurnbull,IndicaWatson,DemetriGoritsas,MirjamNovak,CaraBossom,FranciskaTöröcsik,DrewJacoby,MichaelGould,FerencIvánSzabó,AriellaGlaser,RichardPepple,RalphBerkin,MarkPhelan,EduardFlerov,IsabellaMiles,Thanh-HuyPhan,AlexBartram,BalázsVeres,EdwardDavis",MarjaneSatrapi,"로맨스,드라마",6.3 (16k),72%,2020,1시간50분,"뛰어난 연구 실적에도 불구하고 거침없는 성격 때문에 연구실에서 쫓겨난 과학자 마리. 평소 그녀의 연구를 눈여겨본 피에르는 공동 연구를 제안하고, 두 사람은 자연스럽게 사랑을 느끼게 된다. 연구를 거듭하던 마리는 새로운 원소 라듐을 발견하는데 성공하며 피에르와 함께 노벨상을 수상한다. 그 후 이 발견으로 암을 치료할 수 있다는 기대에 한껏 부푼다. 하지만 기쁨도 잠시, 피에르가 갑작스러운 죽음을 맞고 마리는 깊은 절망에 빠진다. 그리고 곧 마리는 이 위대한 발견 이면의 예상치 못한 힘을 알게 되는데…",마리 퀴리
"MarkChao,DengLun,WangZiwen,WangDuo,JessieLi,XuKaicheng,SunChenjun,WangQing,Jasper,JuXiaowen,LiYusu,LuZhanxiang,LiSanshuai",GuoJingming,"액션,드라마,판타지,SF",6.5 (4k),78%,2020,2시간12분,"인간과 요괴가 공존하는 세상. 봉인된 요물이 깨어나고, 법사들이 하나씩 사라진다. 괴이한 일이 끊이지 않는 천도성. 음과 양의 균형이 삼라만상의 이치일지니, 바야흐로 음양사가 활약할 시대가 왔도다.",음양사: 청아집
"JessicaRothe,HarryShumJr.,MichaelMasini,ChrissieFit,GregVrotsos,EverCarradine,MarielleScott,JayPharoah,KyleAllen,KealaSettle,JoshBrener,JonRudnitsky,KennethKyntBryan,MarioCantone,AnjaliBhimani,BetsyHolt,KaddaSheekoff",MarcMeyers,"로맨스,드라마",6.3 (3k),80%,2020,1시간33분,"로맨틱한 프러포즈로 결혼을 약속한 풋풋한 커플. 이 청춘 남녀 앞에 놓인 첫 번째 숙제가 웨딩 준비도, 신혼집 마련도 아닌 불치병 투병이라니. 우리에게 남은 시간은 얼마일까?",올 마이 라이프
"BlakeLively,JudeLaw,SterlingK.Brown,IvanaBašić,NasserMemarzia,MaxCasella,RichardBrake,RazaJaffrey,GeoffBell,JadeAnouka,TawfeekBarhom,JackMcEvoy,IbrahimRenno,DegnanGeraghty",ReedMorano,"스릴러,액션,드라마,MadeinEurope",5.4 (17k),62%,2020,1시간49분,갑작스러운 비행기 추락 사고로 가족을 잃은 '스테파니'(블레이크 라이블리). 어느 날 그의 앞에 '키스'라는 기자가 찾아와 가족의 사망이 단순한 사고가 아닌 계획된 테러였음을 주장한다. 숨겨졌던 진실에 분노한 ‘스테파니’는 테러 조직을 향한 복수를 계획하지만 한순간에 저지른 치명적인 실수로 인해 모든 상황은 최악으로 치닫게 된다. 그리고 더 이상 잃을 것 없는 인생의 끝에 선 그는 완벽한 복수를 위해 이번 사건의 유일한 정보원 'B'(주드 로)를 찾아 스코틀랜드로 떠난다.,리듬 오브 리벤지
"DianeLane,KevinCostner,KayliCarter,LesleyManville,WillBrittain,JeffreyDonovan,BoobooStewart,RyanBruce,OttoHornung,BramHornung,ConnorMackay,AdamStafford,GregLawson,BradleyStryker,WilliamHochman,JohnTreleaven,HeatherLeaMacCallum,RyanNorthcott,RavonnaDow,KiraBradley,AidanMoreno,JudithBuchan,MarilynPotts,VanessaHolmes,TaydenMarks,BrynRoy,FinnLee-Epp,CaillouPettis",ThomasBezucha,"범죄,드라마,스릴러",6.7 (23k),75%,2020,1시간53분,은퇴한 보안관  조지(케빈 코스트너)와 부인 마거릿(다이안 레인)이 죽은 아들의 아내 로나가 재혼한 위보이 일가로 인해 위험에 빠진 손자를 구하고자 고군분투하는 이야기,렛 힘 고
"GillesLellouche,FrançoisCivil,KarimLeklou,AdèleExarchopoulos,CyrilLecomte,KenzaFortas,MichaëlAbiteboul,IdirAzougli,VincentDarmuzey,Jean-YvesBerteloot,KaïsAmsis,FouedNabba,AbdellahKhoulalene,JacquesKounta",CédricJimenez,"액션,범죄,스릴러,MadeinEurope",6.9 (8k),81%,2020,1시간45분,"출동해 봐야 매번 잡범만 잡을 뿐인 프랑스 마르세유의 형사 삼인조. 상부의 실적 압박이 거센 가운데, 마침 마약 조직을 일망타진할 기회가 왔다. 승진도 시켜 줄 테니 어떻게든 작전만 성공시키라는 주문에 그들이 팔을 걷어붙인다.",더 스트롱홀드
"ChrisHemsworth,RudhrakshJaiswal,RandeepHooda,GolshiftehFarahani,PankajTripathi,DavidHarbour,BryonLerum,RyderLerum,ShivamVichare,PiyushKhati,SaraRumao,AartiKulkarni,UmakantPatil,PraveenIndu,SwapnilKokam,NehaMahajan,PallasPrajapati,ShaziaNazGill,RobCollins,WayneBlair,AdamBessa,SamHargrave,RaynaCampbell,PatrickNewall,ChrisJaiAlex,VonzellCarter,HéctorAndreu,PriyanshuPainyuli,SumeetThakur,ProjoyMajumdar,SounakKundu,PabitraMondal,AbhinavSrivastana,SurajRikame,SudiptoBallav,ShatafFigar,KundanRoy,AmritpalSingh,YatendraBahuguna,DebapriyaSaha,SujayMondal,SurojitMondal,RajSantra,AnupSharma,ChristopherRomrell,Craig'Chili'Palmer,MichaelLehr,MutazaKhatawala,AlejandroAnduze,AdityaPaul,ShreyaVivek,SharanGulati,ShitijGulati,AkshatPathak,TejeshwarSinghMann",SamHargrave,"범죄,드라마,액션,스릴러",6.7 (189k),79%,2020,1시간56분,세계에서 가장 위험한 도시로 납치된 의뢰인의 아들을 구하기 위해  전직 특수부대 출신 용병이 거대 범죄 조직에 맞서 벌이는 리얼 액션 구출극.,익스트랙션
KimHo-joong,,다큐멘터리,,,2020,1시간20분,"2020년 대한민국을 뒤흔든 트로트계의 파바로티, ‘트바로티 김호중’과 아리스가 서로에게 전하고픈 하나의 진심을 에 담아 전한다. “꼭 말해주고 싶었습니다” 2020년 8월, 김호중 팬미팅 현장의 열기와 기쁨, 현장에선 보지 못했던 비하인드 스토리와 미공개 무대까지 스크린에 담았다. 스크린X 오리지널 작품으로 기획 단계부터 고려된 3면 촬영 영상이 선보이는 현장보다 더 생생한 팬미팅 무비! 팬미팅 현장에서 열창했던 곡들과 를 위해 특별히 촬영된 미공개 무대까지 총 10곡의 무대를 선보인다. 역경을 딛고 일어나 인생역전의 아이콘이 되기까지 김호중이 느껴온 심정과 다져온 각오를 표현한 노래들을 담고 있다. 신곡과 미공개 무대들을 포함한 팬미팅 무비는 군입대 전 마지막 팬미팅 영상이자 팬들에게 전하고픈 김호중의 진심을 꾹꾹 눌러 담아 전하고 있다.","그대, 고맙소: 김호중 생애 첫 팬미팅 무비"
"LeeJe-hoon,AhnJae-hong,ChoiWoo-shik,ParkJeong-min,ParkHae-soo,LeeHang-na,SeungEui-yeol,SongYo-sep,BaeJe-gi,ChoSeong-ha,KimWon-hae",YoonSung-hyun,"스릴러,SF,액션,범죄,드라마",6.3 (5k),74%,2020,2시간15분,"희망 없는 도시, 감옥에서 출소한 준석은 가족 같은 친구들인 장호와 기훈 그리고 상수와 함께 무모한 작전을 계획한다. 새로운 인생을 향한 부푼 꿈도 잠시 이들을 뒤쫓는 정체불명의 추격자가 나타나면서 목숨마저 위협받게 된다. 서로가 세상의 전부인 네 친구들은 놈의 사냥에서 벗어날 수 있을까?",사냥의 시간
"GeorgeClooney,FelicityJones,DavidOyelowo,CaoilinnSpringall,KyleChandler,DemiánBichir,TiffanyBoone,SophieRundle,EthanPeck,TimRuss,MiriamShor,LiljaNóttÞórarinsdóttir,HannaMaríaKarlsdóttir,AtliÓskarFjalarsson,EdanHayhurst,JamieSchneider,EysisClacken,SamBond,TiaBannon,NatashaJenssen,BharatMistri,JillBuchanan,KishoreBhatt,GsusLopez,PaulRiddell,GrantCrookes",GeorgeClooney,"SF,스릴러,드라마,판타지",5.6 (80k),64%,2020,1시간58분,"종말을 맞이한 지구, 북극에는 외로운 과학자 오거스틴이 살아있다. 오거스틴은 탐사를 마치고 귀환하던 중 지구와 연락이 끊긴 우주 비행사 설리가 짧은 교신에 성공한다. 그는 설리와 그녀의 동료 우주 비행사들이 원인 불명의 재앙을 맞은 지구로 귀환하는 것을 막고자 분투하는데...",미드나이트 스카이
